,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_model_snr,koi_prad,koi_fpflag_ec,koi_duration_err1,koi_prad_err2,koi_prad_err1,koi_duration_err2,koi_disposition
566,1,0,1,37.6,3.07,1,0.0781,-1.37,0.75,-0.0781,FALSE POSITIVE
567,1,0,0,45.0,1.66,0,0.0887,-0.2,0.21,-0.0887,FALSE POSITIVE
568,0,0,1,250.8,49.25,0,0.0108,-8.84,8.83,-0.0108,FALSE POSITIVE
569,0,0,0,107.1,3.26,0,0.028999999999999998,-0.58,0.58,-0.028999999999999998,CONFIRMED
570,0,0,1,1555.4,21.94,0,0.0034,-2.91,5.82,-0.0034,FALSE POSITIVE
571,0,0,1,334.8,59.19,0,0.0362,-11.97,17.96,-0.0362,CONFIRMED
572,0,0,1,3622.7,21.58,0,0.00279,-1.91,4.72,-0.00279,FALSE POSITIVE
573,0,0,0,162.3,11.21,0,0.0691,-2.59,1.72,-0.0691,CONFIRMED
574,0,0,0,18.1,3.69,0,0.125,-0.85,0.57,-0.125,CANDIDATE
575,1,0,0,93.6,4.19,1,0.0422,-0.39,0.52,-0.0422,FALSE POSITIVE
576,0,0,0,247.8,7.45,0,0.0414,-0.73,2.18,-0.0414,CONFIRMED
577,1,0,1,169.0,27.16,0,0.0194,-3.15,5.14,-0.0194,FALSE POSITIVE
578,0,0,0,150.9,4.42,0,0.0265,-0.38,1.13,-0.0265,CONFIRMED
579,1,0,0,35.3,4.52,1,0.156,-2.28,0.97,-0.156,FALSE POSITIVE
580,1,0,1,19.3,18.11,1,0.38799999999999996,-2.32,2.85,-0.38799999999999996,FALSE POSITIVE
581,1,0,0,20.8,0.58,0,0.0935,-0.07,0.08,-0.0935,FALSE POSITIVE
582,0,0,0,35.3,1.37,0,0.0514,-0.12,0.17,-0.0514,CONFIRMED
583,1,0,1,48.5,0.52,1,0.0519,-0.01,0.04,-0.0519,FALSE POSITIVE
584,0,0,1,456.6,28.41,0,0.0151,-3.08,9.19,-0.0151,FALSE POSITIVE
585,0,0,0,20.7,1.9,0,0.109,-0.29,0.53,-0.109,CONFIRMED
586,1,0,1,46.9,6.17,1,0.2,-2.25,0.97,-0.2,FALSE POSITIVE
587,0,0,0,75.3,1.13,0,0.0254,-0.09,0.16,-0.0254,CONFIRMED
588,1,0,1,39.3,62.11,0,0.0731,-19.07,11.11,-0.0731,FALSE POSITIVE
589,1,0,1,74.5,25.72,1,0.0625,-2.13,6.35,-0.0625,FALSE POSITIVE
590,0,0,0,58.0,1.48,0,0.0545,-0.23,0.16,-0.0545,CONFIRMED
591,1,0,1,33.6,61.63,0,0.0954,-5.73,17.19,-0.0954,FALSE POSITIVE
592,1,0,1,104.5,31.77,0,0.0253,-10.24,6.82,-0.0253,FALSE POSITIVE
593,1,0,1,43.0,19.78,1,0.146,-1.74,1.43,-0.146,FALSE POSITIVE
594,0,0,1,336.4,25.03,0,0.0165,-3.36,7.84,-0.0165,FALSE POSITIVE
595,0,1,0,628.3,29.45,0,0.0026,-2.05,2.05,-0.0026,FALSE POSITIVE
596,0,0,1,1309.3,55.23,0,0.00517,-5.08,15.32,-0.00517,FALSE POSITIVE
597,0,0,0,93.6,2.38,0,0.0322,-0.12,0.18,-0.0322,CONFIRMED
